ObservationURI,ObservationName,Label,RelatedSampleURI,OtherID,SampleDepth,MeasurementUnits,SiteLocationURI,SiteLocationName,LocalityTerms,County,State,LatDegreeWGS84,LongDegreeWGS84,SRS,LocationUncertaintyStatement,SampleCollectionDate,SampleMeasurementDate,SampleType,SampleShape,SampleDimensionsHeight,SampleDimensionsWidth,SampleDimensionsLength,SampleDimensionsUnits,SampleDensity,UncertaintyDensity,SampleDensityUnits,Laboratory,MeasurementDevice,MeasurementProcedure,MeasurementPressure,MeasurementPressureUnits,SampleTemperature,SampleTemperatureUnits,MeasurementDuration,MeasurementDirection,MeasurementRun,BulkMixingFormula,SaturationFluid,SaturatedSampleConductivity,DrySampleConductivity,AverageThermalConductivity,UncertaintyTC,CorrectionTC,CorrectionDescription,UnitsTC,SpecificHeat,UncertaintySpecificHeat,SpecificHeatUnits,ThermalDiffusivity,UncertaintyThermalDiffusivity,UnitsThermalDiffusivity,GeologicFormationName,GeologicFormationURI,GeologicFormationType,DatumElevation,Elevation,Permeability,UnitsPermeability,Porosity,Notes,MetadataURI,Source
G10-003,Outcrop,G10-003,,,0,meters,,,,Redwood,MN,44.69,-95.34,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.8,,,,,,,,,,,,,Sacred Heart Granite,,Weakly Foliated Biotite Granite,,,,,,,,
G10-004,Outcrop,G10-004,,,0,meters,,,,Renville,MN,44.69,-95.34,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.72,,,,,,,,,,,,,Sacred Heart Granite,,Weakly Foliated Biotite Granite,,,,,,,,
G10-005,Outcrop,G10-005,,,0,meters,,,,Redwood,MN,44.66,-95.32,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,,,,,,,,,,,,,,Morton Gneiss,,Biotite-Biotite Gneiss with Amphibolite pods,,,,,,,,
G10-006,Outcrop,G10-006,,,0,meters,,,,Redwood,MN,44.66,-95.23,,,,2011,Outcrop,Cylinder,16.2,1.362,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.9,,,,,,,,,,,,,Morton Gneiss,,Pegmatitic phase of Morton Gneiss,,,,,,,,
G10-007,Outcrop,G10-007,,,0,meters,,,,Renville,MN,44.58,-95.09,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.13,,,,,,,,,,,,,Morton Gneiss,,Granitic Phase of Morton Gneiss,,,,,,,,
G10-008,Outcrop,G10-008,,,0,meters,,,,Renville,MN,44.55,-94.99,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.84,,,,,,,,,,,,,Morton Gneiss,,Biotite-Biotite Gneiss,,,,,,,,
G10-009,Outcrop,G10-009,,,0,meters,,,,Stearns,MN,45.55,-94.24,,,,2011,Outcrop,Cylinder,23.93,1.992,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.88,,,,,,,,,,,,,St. Cloud Granite,,"Biotite-Biotite Granite ""Old Gray""",,,,,,,,
G10-010,Outcrop,G10-010,,,0,meters,,,,Sherburne,MN,45.54,-94.13,,,,2011,Outcrop,Cylinder,25.4,2.178,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.8,,,,,,,,,,,,,Rockville Granite,,Hornblende Granite,,,,,,,,
G10-011,Outcrop,G10-011,,,0,meters,,,,Stearns,MN,45.45,-94.43,,,,2011,Outcrop,Cylinder,21.4,1.888,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.32,,,,,,,,,,,,,Richmond Charnokitic Granite,,Charnokitic Granite (orthopyroxene-bearing),,,,,,,,
G10-012,Outcrop,G10-012,,,0,meters,,,,Benton,MN,45.66,-94.19,,,,2011,Outcrop,Cylinder,16.94,1.152,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.04,,,,,,,,,,,,,St. Cloud Granite,,Porphyritic Hornblende Granite,,,,,,,,
G10-013,Outcrop,G10-013,,,0,meters,,,,Morrison,MN,46.01,-94.21,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.04,,,,,,,,,,,,,Freedham Granodiorite,,Granodiorite,,,,,,,,
G10-014,Outcrop,G10-014,,,0,meters,,,,Mille Lacs,MN,46.01,-93.68,,,,2011,Outcrop,Cylinder,16.15,1.208,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.83,,,,,,,,,,,,,Bradbury Creek Granodiorite,,Granodiorite,,,,,,,,
